location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	places_code	places	keywords
116.539671,39.775278	亦庄经济技术开发区同济南路18号	大兴区	北京市	B0FFI2DOT9	[]	北京环境监测中心	北京市	[]	政府机构及社会团体;政府机关;政府机关相关	130100	116.539671	39.775278	110000	北京市	环境监测中心
116.325119,39.932021	车公庄西路14号b座511室	海淀区	北京市	B0FFG8HRTM	[]	北京市环境保护监测中心	北京市	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	116.325119	39.932021	110000	北京市	环境监测中心
116.314767,39.884024	太平桥西里27号楼二层218室	丰台区	北京市	B0FFF2U9H0	[]	北京中环天成环境监测中心	北京市	[]	政府机构及社会团体;政府机关;政府机关相关	130100	116.314767	39.884024	110000	北京市	环境监测中心
116.323164,39.702009	黄良路27号	大兴区	北京市	B000A83XI6	[]	北京市大兴区水环境监测中心	北京市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	116.323164	39.702009	110000	北京市	环境监测中心
116.758778,39.856922	[]	通州区	北京市	B0FFINNJEP	[]	北京市水环境监测中心通州分中心	北京市	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	116.758778	39.856922	110000	北京市	环境监测中心
116.291237,39.803456	堡台北路6号二区2-102号(近地铁大葆台站)	丰台区	北京市	B0FFHCOPUN	[]	北京世纪嘉睿环境监测中心	北京市	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	116.291237	39.803456	110000	北京市	环境监测中心
116.734452,40.133380	306省道南100米	顺义区	北京市	B0FFG7SJD7	[]	北京市水环境监测中心顺义分中心	北京市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	116.734452	40.133380	110000	北京市	环境监测中心
116.419003,40.041801	安外大羊坊8号乙	朝阳区	北京市	B000A87IM9	[]	中国环境监测总站	北京市	010-84943000	政府机构及社会团体;政府机关;国家级机关及事业单位	130101	116.419003	40.041801	110000	北京市	环境监测中心
116.356219,39.810510	中富丽宫品牌基地2号楼	丰台区	北京市	B0FFG72L13	[]	北京中环物研环境质量监测中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.356219	39.810510	110000	北京市	环境监测中心
116.101257,39.943207	龙泉镇剧场东街11号	门头沟区	北京市	B0FFHUF5RK	[]	门头沟区环境保护监测站	北京市	010-69867456	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	116.101257	39.943207	110000	北京市	环境监测中心
