人均GDP,GDP（亿元）,记录数,二氧化硫排放量(吨),人口（万人）,年份 (分省年度数据人口_1.csv),氮氧化物排放量（吨）,烟(粉)尘排放量(吨),省份 (分省年度数据人口_1.csv),记录数 (分省年度数据人口_1.csv)
8,16251.93,1,97883.33,2019,2011,188324.89,65848.04,北京市,1
8,11307.28,1,230900,1355,2011,358900,75922.53,天津市,1
3,24515.76,1,1412128.73,7241,2011,1801138.33,1322477.13,河北省,1
3,11237.55,1,1399051.29,3593,2011,1286019.27,1129854.08,山西省,1
5,14359.88,1,1409404.33,2482,2011,1421896.56,739875.7,内蒙古自治区,1
5,22226.7,1,1126169.82,4383,2011,1062816.92,693159.61,辽宁省,1
3,10568.83,1,413190.52,2749,2011,604716,432180.66,吉林省,1
3,12582,1,521896.19,3834,2011,783753.04,655869.3,黑龙江省,1
8,19195.69,1,240101.5,2347,2011,435400.1,89828.4,上海市,1
6,49110.27,1,1053799.74,7899,2011,1535740.1,527354.47,江苏省,1
5,32318.85,1,662048.27,5463,2011,859050.64,323320.04,浙江省,1
2,15300.65,1,529473.84,5968,2011,959113.57,452223.97,安徽省,1
4,17560.18,1,389174.59,3720,2011,494507,225340.68,福建省,1
2,11702.82,1,584061.27,4488,2011,612341.1,396037.84,江西省,1
4,45361.85,1,1827397.2,9637,2011,1790252.61,783847.41,山东省,1
2,26931.03,1,1370504.08,9388,2011,1665363.29,668215.65,河南省,1
3,19632.26,1,665640.29,5758,2011,669649.9,346149.8,湖北省,1
2,19669.56,1,685529.58,6596,2011,666368.32,384438.7,湖南省,1
5,53210.28,1,847727.6,10505,2011,1388220.35,324255.94,广东省,1
2,11720.87,1,521022.51,4645,2011,494007.65,288285.85,广西壮族自治区,1
2,2522.66,1,32572.39,877,2011,95385.19,15817.53,海南省,1
3,10011.37,1,586929.07,2919,2011,402621.01,180971.76,重庆市,1
2,21026.68,1,902006.3,8050,2011,674853.2,385902.9,四川省,1
1,5701.84,1,1104284,3469,2011,553185.55,303466.81,贵州省,1
1,8893.12,1,691225.79,4631,2011,548517.77,382241.28,云南省,1
1,605.83,1,4175.73,303,2011,40622.53,10035.4,西藏自治区,1
3,12512.3,1,916838.68,3743,2011,831749.33,463430.28,陕西省,1
1,5020.37,1,623902.18,2564,2011,480855.11,236190.79,甘肃省,1
2,1670.44,1,156602.1,568,2011,124115.63,138335.85,青海省,1
3,2102.21,1,410385.49,639,2011,458170.19,215465.07,宁夏回族自治区,1
2,6610.05,1,763055.29,2209,2011,755089.75,531911.88,新疆维吾尔自治区,1
8,17879.4,1,93849.39,2069,2012,177493.41,66824.78,北京市,1
9,12893.88,1,224521.4,1413,2012,334222.59,84064,天津市,1
3,26575.01,1,1341201.15,7288,2012,1761109.58,1235877.24,河北省,1
3,12112.83,1,1301755,3611,2012,1243969.91,1070863.36,山西省,1
6,15880.58,1,1384928.33,2490,2012,1418897.36,833010.1,内蒙古自治区,1
5,24846.43,1,1058712.3,4389,2012,1036321.95,726257.71,辽宁省,1
4,11939.24,1,403482.25,2750,2012,575851.78,264755.8,吉林省,1
3,13691.58,1,514299.73,3834,2012,780611.37,699275.14,黑龙江省,1
8,20181.72,1,228218.29,2380,2012,401617.86,87148.42,上海市,1
6,54058.22,1,991966.79,7920,2012,1479608.69,443207.7,江苏省,1
6,34665.33,1,625766.42,5477,2012,808848.79,254029.81,浙江省,1
2,17212.05,1,519589.35,5988,2012,921267.88,462058.61,安徽省,1
5,19701.78,1,371251.34,3748,2012,467210.98,252635.35,福建省,1
2,12948.88,1,567687.21,4504,2012,577095.16,357373.06,江西省,1
5,50013.24,1,1748806.99,9685,2012,1738973.3,695266.81,山东省,1
3,29599.31,1,1275909.33,9406,2012,1625897.69,599823.47,河南省,1
3,22250.45,1,622367.29,5779,2012,640007.89,349657.23,湖北省,1
3,22154.23,1,644959.47,6639,2012,607213.8,340723.52,湖南省,1
5,57067.92,1,799223.24,10594,2012,1303428.77,328251.62,广东省,1
2,13035.1,1,504123.33,4682,2012,498255.64,299723.01,广西壮族自治区,1
3,2855.54,1,34136.86,887,2012,103392.33,16605.57,海南省,1
3,11409.6,1,564776.63,2945,2012,382670.54,182265.7,重庆市,1
2,23872.8,1,864440.44,8076,2012,659004.69,295836.11,四川省,1
1,6852.2,1,1041086.62,3484,2012,563538.7,294496.99,贵州省,1
2,10309.47,1,672215.92,4659,2012,544346.3,390645.91,云南省,1
2,701.03,1,4184.66,308,2012,44307.9,6594.5,西藏自治区,1
3,14453.68,1,843755.44,3753,2012,808128.82,462050.81,陕西省,1
2,5650.2,1,572489.4,2578,2012,473381.8,207567.02,甘肃省,1
3,1893.54,1,153853.33,573,2012,126058.73,156392.96,青海省,1
3,2341.29,1,406633.25,647,2012,455404.94,198336.71,宁夏回族自治区,1
3,7505.31,1,796128.41,2233,2012,819477.3,696125.97,新疆维吾尔自治区,1
9,19800.81,1,87041.62,2115,2013,166329.12,59285.95,北京市,1
9,14442.01,1,216832.07,1472,2013,311719.26,87456.88,天津市,1
3,28442.95,1,1284697.46,7333,2013,1652467.63,1313312.62,河北省,1
3,12665.25,1,1255426.92,3630,2013,1157804.22,1026718.12,山西省,1
6,16916.5,1,1358691.74,2498,2013,1377573.1,822126.73,内蒙古自治区,1
6,27213.22,1,1027044.07,4390,2013,955381.4,670585.64,辽宁省,1
4,13046.4,1,381452.65,2751,2013,560518.74,320187.46,吉林省,1
3,14454.91,1,489093.76,3835,2013,751588.31,722454.24,黑龙江省,1
9,21818.15,1,215848.15,2415,2013,380354.61,80924.98,上海市,1
7,59753.37,1,941679.05,7939,2013,1338040.44,499960.61,江苏省,1
6,37756.59,1,593363.79,5498,2013,752976.23,319745.93,浙江省,1
3,19229.34,1,501349.13,6030,2013,863668.62,418617.27,安徽省,1
5,21868.49,1,361003.48,3774,2013,438344.09,259363.41,福建省,1
3,14410.19,1,557703.6,4522,2013,570408.06,356271.27,江西省,1
5,55230.32,1,1644967.09,9733,2013,1651327.58,696725.61,山东省,1
3,32191.3,1,1253983.82,9413,2013,1565643.4,641273.14,河南省,1
4,24791.83,1,599352.87,5799,2013,612392.26,359524.92,湖北省,1
3,24621.67,1,641321.04,6691,2013,588160.68,358671.3,湖南省,1
5,62474.79,1,761896.06,10644,2013,1204239.38,353967.54,广东省,1
3,14449.9,1,471986.8,4719,2013,504306.91,289473.82,广西壮族自治区,1
3,3177.56,1,32414.15,895,2013,100248.59,18003.18,海南省,1
4,12783.26,1,547686.06,2970,2013,362042.51,191204.48,重庆市,1
3,26392.07,1,816706.01,8107,2013,624313.95,296004.85,四川省,1
2,8086.86,1,986423.12,3502,2013,557292.49,301301.56,贵州省,1
2,11832.31,1,663091.24,4687,2013,523672.47,386895.16,云南省,1
2,815.67,1,4191.66,312,2013,44327.6,6750.75,西藏自治区,1
4,16205.45,1,806152.32,3764,2013,758897.78,537738.57,陕西省,1
2,6330.69,1,561980.82,2582,2013,442925.65,226573.72,甘肃省,1
3,2122.06,1,156694,578,2013,132256.1,173762.04,青海省,1
3,2577.57,1,389712.3,654,2013,437439.67,230619.65,宁夏回族自治区,1
3,8443.84,1,829431.08,2264,2013,886926.57,755909.37,新疆维吾尔自治区,1
9,21330.83,1,78906.03,2152,2014,150955.14,57372.45,北京市,1
10,15726.93,1,209200,1517,2014,282300,139511.47,天津市,1
3,29421.15,1,1189902.56,7384,2014,1512468.92,1797683.42,河北省,1
3,12761.49,1,1208225.28,3648,2014,1069859.77,1506778.02,山西省,1
7,17770.19,1,1312436.37,2505,2014,1258281.03,1021510.38,内蒙古自治区,1
6,28626.58,1,994597.4,4391,2014,901964.07,1120701.44,辽宁省,1
5,13803.14,1,372256,2752,2014,549246.84,475132.99,吉林省,1
3,15039.38,1,472248.4,3833,2014,730584.86,793548.57,黑龙江省,1
9,23567.7,1,188149.16,2426,2014,332790.47,141650.1,上海市,1
8,65088.32,1,904740.62,7960,2014,1232552.49,763678.35,江苏省,1
7,40173.03,1,574012.17,5508,2014,687850.05,379666.45,浙江省,1
